weekday,rank,webtoon_title,webtoon_author,webtoon_title_id,webtoon_url,series_product_no,series_title,series_title_raw,series_episode_info,series_total_episode_count,series_completion_status,series_author,series_author_raw,series_url,match_status,download_status,series_result_text,weekday_list,weekday_row_count,serial_weekdays,serial_weekday_count,pre_collect_weekdays,post_24h_collect_weekdays,is_download_collectable,release_weekday,release_weekday_ko,pre_collect_weekday,post_24h_collect_weekday,release_event_key,collection_context,target_reason,series_download_text,series_download_count,current_url,snapshot_id,snapshot_weekday,snapshot_weekday_ko,snapshot_started_at_kst,snapshot_date_kst,snapshot_time_kst,item_collect_started_at_kst,item_collect_finished_at_kst,item_collect_elapsed_seconds,collected_at_kst,collected_date_kst,collected_time_kst,snapshot_finished_at_kst,snapshot_elapsed_seconds,baseline_found,baseline_snapshot_id,baseline_collected_at_kst,baseline_download_text,baseline_download_count,download_increase,download_increase_rate,dt
wed,81,레몬나무숲,해소금,848317,https://comic.naver.com/webtoon/list?titleId=848317&tab=wed,13787029,레몬나무숲,레몬나무숲 (총 18화/미완결),총 18화/미완결,18.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=13787029,matched,ok,"레몬나무숲 (총 18화/미완결)
평점
9.8 | 해소금 해소금 | 2026.06.02. | 총18화/미완결 | 14화 무료
[막이 오른다.][기쁜 일이 있는 듯 환하게 웃는 한 사람이 무대로 뛰어오른다.][눈을 맞추며]'사랑해.''당신이 이 세상에서 가장 비참해졌으면 좋겠어.'",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,13787029_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,26.4만,264000.0,https://series.naver.com/comic/detail.series?productNo=13787029,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:47:43,2026-06-24 00:47:45,1.92,2026-06-24 00:47:45,2026-06-24,00:47:45,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:12,26.4만,264000.0,0.0,0.0,2026-06-24 00:47:45
wed,86,철릉고등학교,분발맨,848318,https://comic.naver.com/webtoon/list?titleId=848318&tab=wed,13787030,철릉고등학교,철릉고등학교 (총 20화/미완결),총 20화/미완결,20.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=13787030,matched,ok,"철릉고등학교 (총 20화/미완결)
평점
10.0 | 분발맨 분발맨 | 2026.06.02. | 총20화/미완결 | 15화 무료
두발규제가 삼엄하다못해 철통같은 철릉고등학교.두발규정을 어기는 순간 교사들의 바리깡이 춤을 춘다.이런 억압 속에서, 머리가 막장으로 긴 문제아 ‘전학생’과 바리깡이 통하지 않는 ‘권기수’는 교칙을 바꾸고 자유를 ..",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,13787030_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,9.3만,93000.0,https://series.naver.com/comic/detail.series?productNo=13787030,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:47:47,2026-06-24 00:47:49,2.13,2026-06-24 00:47:49,2026-06-24,00:47:49,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:16,9.3만,93000.0,0.0,0.0,2026-06-24 00:47:49
wed,82,댄서,영일보이,848316,https://comic.naver.com/webtoon/list?titleId=848316&tab=wed,13855014,댄서,댄서 (총 19화/미완결),총 19화/미완결,19.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=13855014,matched,ok,"댄서 (총 19화/미완결)
평점
9.8 | 영일보이 영일보이 | 2026.06.02. | 총19화/미완결 | 14화 무료
'코트 위에서 춤을 추기 시작했다'중학리그 MVP 였던 유준은 아버지가 범죄자라는 사실이 알려지며 범죄자의 아들로 낙인이 찍힌다. 범죄자의 아들로서 받았던 자신에 대한 조롱, 비난과 평가들이 전부 틀렸단 걸 보여주기 ..",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,13855014_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,22.3만,223000.0,https://series.naver.com/comic/detail.series?productNo=13855014,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:47:39,2026-06-24 00:47:42,2.32,2026-06-24 00:47:42,2026-06-24,00:47:42,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:09,22.3만,223000.0,0.0,0.0,2026-06-24 00:47:42
wed,88,카르텔,박수봉,849144,https://comic.naver.com/webtoon/list?titleId=849144&tab=wed,13928167,카르텔,카르텔 (총 17화/미완결),총 17화/미완결,17.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=13928167,matched,ok,"카르텔 (총 17화/미완결)
평점
9.8 | 김장훈, 박수봉 진작 | 2026.06.02. | 총17화/미완결 | 12화 무료
가장 낙후된 동네에 혼자 남게된 소년, 원도윤. 재능은 있었지만 세상은 그를 끌어내렸다. 거대 조직이 쥐고 흔드는 세상에서는 위로 오를수록 더 깊이 빠진다는 것을 깨닫는다. 원도윤은 끝내 선택한다. 정상 대신 나락을. 그리..",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,13928167_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,12만,120000.0,https://series.naver.com/comic/detail.series?productNo=13928167,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:47:50,2026-06-24 00:47:53,2.35,2026-06-24 00:47:53,2026-06-24,00:47:53,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:19,12만,120000.0,0.0,0.0,2026-06-24 00:47:53
wed,23,공작님의 아이만 필요합니다,라뇽,849451,https://comic.naver.com/webtoon/list?titleId=849451&tab=wed,13936024,공작님의 아이만 필요합니다 [독점],공작님의 아이만 필요합니다 [독점] (총 14화/미완결),총 14화/미완결,14.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=13936024,matched,ok,"공작님의 아이만 필요합니다 [독점] (총 14화/미완결)
평점
10.0 | 백단, 라뇽 Roal | 2026.06.02. | 총14화/미완결 | 9화 무료
[매주 수요일 연재]‘과거로 돌아갈 수 있다면, 그 사람을 사랑하지 않을 텐데.’회귀 후, 전남편과의 두 번째 결혼은 오직 아이를 위해서였다.그렇게 기적처럼 얻은 두 번째 생은 사랑을 갈구하던 전생과 달리오로지 아이를 다..",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,13936024_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,129.9만,1299000.0,https://series.naver.com/comic/detail.series?productNo=13936024,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:47:58,2026-06-24 00:48:01,2.24,2026-06-24 00:48:01,2026-06-24,00:48:01,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:26,129.3만,1293000.0,6000.0,0.004640371229698376,2026-06-24 00:48:01
wed,96,스톤에이지,JA,849283,https://comic.naver.com/webtoon/list?titleId=849283&tab=wed,13939883,스톤에이지,스톤에이지 (총 17화/미완결),총 17화/미완결,17.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=13939883,matched,ok,"스톤에이지 (총 17화/미완결)
평점
10.0 | JA | 2026.06.02. | 총17화/미완결 | 12화 무료
추락의 방아쇠를 당기는 이 게임에 휘말려 버린 건 언제부터였을까. 범접 불가의 천재 소년, 그에게 이상한 일들이 벌어지기 시작한다.",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,13939883_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,3.2만,32000.0,https://series.naver.com/comic/detail.series?productNo=13939883,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:47:54,2026-06-24 00:47:57,2.36,2026-06-24 00:47:57,2026-06-24,00:47:57,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:23,3.2만,32000.0,0.0,0.0,2026-06-24 00:47:57
wed,70,완벽한 선배의 Hide!,두지,849742,https://comic.naver.com/webtoon/list?titleId=849742&tab=wed,14024755,완벽한 선배의 Hide!,완벽한 선배의 Hide! (총 12화/미완결),총 12화/미완결,12.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=14024755,matched,ok,"완벽한 선배의 Hide! (총 12화/미완결)
평점
9.9 | 두지 두지 | 2026.06.02. | 총12화/미완결 | 7화 무료
모두에게 다정하고 친절한 엄친아 과탑 태혁 선배.그러나 그 엄친아의 껍데기 속에는 미친 또라이 지랄남이 숨겨져 있다?학과 동기들 중 유일하게 그 남자의 비밀을 알고 있는 여자.그리고 그 여자에게 점점 더 집착하는 또라..",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,14024755_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,19.9만,199000.0,https://series.naver.com/comic/detail.series?productNo=14024755,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:48:02,2026-06-24 00:48:04,2.23,2026-06-24 00:48:04,2026-06-24,00:48:04,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:30,19.8만,198000.0,1000.0,0.005050505050505051,2026-06-24 00:48:04
wed,74,비인간서사,호밀밭,849747,https://comic.naver.com/webtoon/list?titleId=849747&tab=wed,14025252,비인간서사,비인간서사 (총 12화/미완결),총 12화/미완결,12.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=14025252,matched,ok,"비인간서사 (총 12화/미완결)
평점
10.0 | 호밀밭 호밀밭 | 2026.06.02. | 총12화/미완결 | 7화 무료
2055년 서울. 문명은 상승하고 개인은 추락한다.청년 하늘은 엄마의 수술 비용을 갚으며 살아간다.어느 날, 운명이 그를 찾아왔다.",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,14025252_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,4.4만,44000.0,https://series.naver.com/comic/detail.series?productNo=14025252,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:48:05,2026-06-24 00:48:08,2.55,2026-06-24 00:48:08,2026-06-24,00:48:08,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:34,4.3만,43000.0,1000.0,0.023255813953488372,2026-06-24 00:48:08
wed,25,싸움배달,하우진,850079,https://comic.naver.com/webtoon/list?titleId=850079&tab=wed,14082849,싸움배달,싸움배달 (총 9화/미완결),총 9화/미완결,9.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=14082849,matched,ok,"싸움배달 (총 9화/미완결)
평점
9.9 | 하우진 박창근 | 2026.06.02. | 총9화/미완결 | 5화 무료
배달이요~라이더 2년차, 싸움배달 전문 고등학생 이상.어느날 거액의 의뢰를 제안을 받는데,오너가 심상치 않다...",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,14082849_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,27.6만,276000.0,https://series.naver.com/comic/detail.series?productNo=14082849,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:48:09,2026-06-24 00:48:12,2.24,2026-06-24 00:48:12,2026-06-24,00:48:12,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:38,27.4만,274000.0,2000.0,0.0072992700729927005,2026-06-24 00:48:12
wed,73,일곱 번째 의뢰인,,850210,https://comic.naver.com/webtoon/list?titleId=850210&tab=wed,14102285,일곱 번째 의뢰인,일곱 번째 의뢰인 (총 14화/미완결),총 14화/미완결,14.0,미완결,함영서 함영서,평점 10.0 | 함영서 함영서 | 2026.06.16. | 총14화/미완결 | 9화 무료,https://series.naver.com/comic/detail.series?productNo=14102285,review_needed,not_found,"일곱 번째 의뢰인 (총 14화/미완결)
평점
10.0 | 함영서 함영서 | 2026.06.16. | 총14화/미완결 | 9화 무료
어린 탐정 맥스는 아무도 주목하지 않는 도박 업자의 죽음을 조사하라는 의뢰를 받는다. 의뢰인이 용의자로 지목한 도박 업자의 아내 제인. 맥스는 그녀를 향한 의심과 이끌림 사이에서 갈등하는데. 제인은 결백한가, 살인자인..",wed,1,wed,1,tue,wed,True,wed,수,tue,wed,14102285_wed,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,,,https://nid.naver.com/nidlogin.login?svctype=128&a_version=2&viewtype=1&url=http%3A%2F%2Fseries.naver.com%2Fcomic%2Fdetail.series%3FproductNo%3D14102285&surl=https%3A%2F%2Fseries.naver.com,20260624_003427,wed,수,2026-06-24 00:34:27,2026-06-24,00:34:27,2026-06-24 00:48:13,2026-06-24 00:48:27,14.8,2026-06-24 00:48:27,2026-06-24,00:48:27,2026-06-24 00:49:01,874.7,True,20260623_021626,2026-06-23 02:23:54,,,,,2026-06-24 00:48:27
