title_id,title_name,week,tab,episode_no,episode_title,uploaded_at,uploaded_at_dt,free_release_at,rating,rating_count,episode_like_count,episode_url,collected_at,episode_no_text,rating_text,raw_item_text,list_page_no
838569,해피 페이스,mon,mon,30,30화 - 피로 물들다,25.11.16,2025-11-16,2025-11-15 22:00:00,9.97,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=30&week=mon,2026-06-27 01:32:01.477333,30화 - 피로 물들다,9.97,"30화 - 피로 물들다

별점
9.97
25.11.16",2
838569,해피 페이스,mon,mon,31,31화 - 교주,25.11.23,2025-11-23,2025-11-22 22:00:00,9.97,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=31&week=mon,2026-06-27 01:32:01.477333,31화 - 교주,9.97,"31화 - 교주

별점
9.97
25.11.23",2
838569,해피 페이스,mon,mon,32,32화 - 해피 vs 교주,25.11.30,2025-11-30,2025-11-29 22:00:00,9.97,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=32&week=mon,2026-06-27 01:32:01.477333,32화 - 해피 vs 교주,9.97,"32화 - 해피 vs 교주

별점
9.97
25.11.30",2
838569,해피 페이스,mon,mon,33,33화 - 포식,25.12.07,2025-12-07,2025-12-06 22:00:00,9.98,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=33&week=mon,2026-06-27 01:32:01.477333,33화 - 포식,9.98,"33화 - 포식

별점
9.98
25.12.07",2
838569,해피 페이스,mon,mon,34,34화 - 루카스티안의 편지,25.12.14,2025-12-14,2025-12-13 22:00:00,9.96,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=34&week=mon,2026-06-27 01:32:01.477333,34화 - 루카스티안의 편지,9.96,"34화 - 루카스티안의 편지

별점
9.96
25.12.14",2
838569,해피 페이스,mon,mon,35,35화 - 원정대의 탄생,25.12.21,2025-12-21,2025-12-20 22:00:00,9.97,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=35&week=mon,2026-06-27 01:32:01.477333,35화 - 원정대의 탄생,9.97,"35화 - 원정대의 탄생

별점
9.97
25.12.21",2
838569,해피 페이스,mon,mon,36,36화 - 원정길,26.01.04,2026-01-04,2026-01-03 22:00:00,9.96,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=36&week=mon,2026-06-27 01:32:01.477333,36화 - 원정길,9.96,"36화 - 원정길

별점
9.96
26.01.04",2
838569,해피 페이스,mon,mon,37,37화 - 산적들의 땅,26.01.11,2026-01-11,2026-01-10 22:00:00,9.96,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=37&week=mon,2026-06-27 01:32:01.477333,37화 - 산적들의 땅,9.96,"37화 - 산적들의 땅

별점
9.96
26.01.11",2
838569,해피 페이스,mon,mon,38,38화 - 최강 신생 산적단,26.01.18,2026-01-18,2026-01-17 22:00:00,9.95,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=38&week=mon,2026-06-27 01:32:01.477333,38화 - 최강 신생 산적단,9.95,"38화 - 최강 신생 산적단

별점
9.95
26.01.18",2
838569,해피 페이스,mon,mon,39,39화 - 최강 신생 산적단 (2),26.01.25,2026-01-25,2026-01-24 22:00:00,9.96,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=39&week=mon,2026-06-27 01:32:01.477333,39화 - 최강 신생 산적단 (2),9.96,"39화 - 최강 신생 산적단 (2)

별점
9.96
26.01.25",2
838569,해피 페이스,mon,mon,40,40화 - 최강 신생 산적단 (3),26.02.01,2026-02-01,2026-01-31 22:00:00,9.96,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=40&week=mon,2026-06-27 01:32:01.477333,40화 - 최강 신생 산적단 (3),9.96,"40화 - 최강 신생 산적단 (3)

별점
9.96
26.02.01",2
838569,해피 페이스,mon,mon,41,41화 - 방패,26.02.08,2026-02-08,2026-02-07 22:00:00,9.97,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=41&week=mon,2026-06-27 01:32:00.699332,41화 - 방패,9.97,"41화 - 방패

별점
9.97
26.02.08",1
838569,해피 페이스,mon,mon,42,42화 - 교단,26.02.15,2026-02-15,2026-02-14 22:00:00,9.96,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=42&week=mon,2026-06-27 01:32:00.699332,42화 - 교단,9.96,"42화 - 교단

별점
9.96
26.02.15",1
838569,해피 페이스,mon,mon,43,43화 - 왕국 입성,26.02.22,2026-02-22,2026-02-21 22:00:00,9.97,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=43&week=mon,2026-06-27 01:32:00.699332,43화 - 왕국 입성,9.97,"43화 - 왕국 입성

별점
9.97
26.02.22",1
838569,해피 페이스,mon,mon,44,44화 - 공주,26.03.01,2026-03-01,2026-02-28 22:00:00,9.98,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=44&week=mon,2026-06-27 01:32:00.699332,44화 - 공주,9.98,"44화 - 공주

별점
9.98
26.03.01",1
838569,해피 페이스,mon,mon,45,45화 - 관찰,26.03.08,2026-03-08,2026-03-07 22:00:00,9.98,,,https://comic.naver.com/webtoon/detail?titleId=838569&no=45&week=mon,2026-06-27 01:32:00.699332,45화 - 관찰,9.98,"45화 - 관찰

별점
9.98
26.03.08",1
