웹툰 ID,연재 요일,웹툰 명,작가,해시태그,관심수,회차,대표장르,웹툰명,요일,평균순위,요일최대순위,순위백분위,순위구간,분석회차수,초반구간회차수,별점_초반평균,별점_후반평균,별점_하락폭_pct,별점 참여 수_초반평균,별점 참여 수_후반평균,별점 참여 수_하락폭_pct,댓글_초반평균,댓글_후반평균,댓글_하락폭_pct,관심수대비별점_초반평균,관심수대비별점_후반평균,관심수대비별점_하락폭_pct,관심수대비별점참여자수_초반평균,관심수대비별점참여자수_후반평균,관심수대비별점참여자수_하락폭_pct,관심수대비댓글수_초반평균,관심수대비댓글수_후반평균,관심수대비댓글수_하락폭_pct
747269,수,전지적 독자 시점,언데드딸기 / 언데드감자 / 싱숑,#판타지 #최애캐의SNS #레드아이스 스튜디오 #게임 #세계관 #아포칼립스 #게임판타지 #헌터물 #이능력배틀물 #먼치킨 #구원서사 #소설원작,1402327,총 306화,판타지,전지적 독자 시점,수,1.0,115,0.008695652173913044,최상위 10%,306,62,9.970645161290326,9.953559322033897,0.17136142125248754,50713.54838709677,16501.881355932204,67.4606059312331,3573.1290322580644,1132.0677966101696,68.31718680210238,0.07108695565456705,0.07096511064127307,0.17140277308547874,3.615685457327862,1.176521682671398,67.46061855886947,0.2547506622451428,0.08071214913244408,68.31719752124688
848000,일,범죄도시0,박태준,#액션 #개그 #영화원작웹툰 #드라마&영화 원작웹툰 #느와르,131957,총 13화,액션,범죄도시0,일,1.0,110,0.00909090909090909,최상위 10%,13,3,9.67,,,6863.0,,,999.3333333333334,,,0.728266845407099,,,5.168661178933733,,,0.7526177189005455,,
828715,화,절대회귀,JP / 부겸 / 장영훈,#무협/사극 #참교육 #미친작화 #무협/사극 #고인물 #타임슬립 #회귀 #판무 #복수극 #먼치킨 #소설원작,360242,총 95화,무협/사극,절대회귀,화,2.0,118,0.01694915254237288,최상위 10%,95,19,9.969473684210525,9.966153846153846,0.03330003330002625,13409.631578947368,9002.76923076923,32.863411065645906,519.8421052631579,712.2307692307693,-37.009057561857,0.27607282816763695,0.27597976972006033,0.033707934313664034,3.7133707413560004,2.4930200933125173,32.86368997451225,0.14395376134370425,0.1972288274033682,-37.00845713399896
838002,수,종말이 찾아왔다,"박만사, 땅콩 / 전선욱",#판타지 #액션아포칼립스 #생존 #스릴러 #환골탈태 #아포칼립스 #힘숨찐 #좀비,309099,총 59화,판타지,종말이 찾아왔다,수,2.0,115,0.017391304347826087,최상위 10%,59,12,9.785,9.895,-1.124169647419514,8521.416666666666,4367.5,48.7467850611694,631.8333333333334,533.0,15.64231073595358,0.3163288397504283,0.319884912552937,-1.1241696474195337,2.754798004288839,1.4119225422687744,48.7467850611694,0.20425866658045885,0.17230789124882814,15.642310735953563
747271,목,나노마신,김두루미 / 티아이 / 한중월야,#무협/사극 #최애캐의SNS #레드아이스 스튜디오 #사이다 #게임 #상태창 #참교육 #SF #판무 #이능력배틀물 #먼치킨 #소설원작,741709,총 306화,무협/사극,나노마신,목,2.0,114,0.017543859649122806,최상위 10%,306,62,9.961290322580647,9.286727272727273,6.771844088553946,23498.3064516129,11274.872727272726,52.01836034230956,1026.0806451612902,750.3636363636364,26.870890713888652,0.13426428167635748,0.12517184329095257,6.7720456042971495,3.167243493089342,1.51969221463292,52.018459649573515,0.13830132298556128,0.10113832472034788,26.87103598357713
641253,금,외모지상주의,박태준 / 정종택,#드라마 #사이다 #학원액션 #소년물 #참교육 #성장물 #격투기 #학원물 #인플루언서 #복수극 #먼치킨,2457627,총 601화,드라마,외모지상주의,금,2.0,117,0.017094017094017096,최상위 10%,601,121,9.89198347107438,8.846315789473685,10.570859571878389,85181.38842975207,18690.333333333332,78.0581959535128,22662.578512396693,3568.964912280702,84.25172620878759,0.04024958409355116,0.03599476960424894,10.571076907062828,3.4659535981017773,0.7604909223818531,78.05824859287335,0.9221198003012501,0.14521760054705576,84.25176419597386
650305,토,호랑이형님,"병장, 박만사 / 펀치킥",#판타지 #명작 #세계관 #동양풍판타지 #판무 #동물,916716,총 457화,판타지,호랑이형님,토,2.0,122,0.01639344262295082,최상위 10%,457,92,9.977173913043481,9.125714285714286,8.534076229903684,42065.79347826087,14692.021978021978,65.07370772498408,3484.336956521739,2249.054945054945,35.45242687147921,0.10883295314323417,0.09954495737316005,8.53417600260306,4.5886185511584365,1.6026325783804158,65.0737458232213,0.3800782506443186,0.24533101916839786,35.45249728115032
758150,일,입학용병,"병장, 박만사 / 펀치킥",#액션 #사이다 #학원액션 #우정 #가족 #참교육 #밀리터리 #학원물 #먼치킨 #느와르,747130,총 281화,액션,입학용병,일,2.5,110,0.022727272727272728,최상위 10%,281,57,9.925964912280703,9.833571428571428,0.9308262171566091,27518.736842105263,8789.785714285714,68.05890559323628,2226.719298245614,529.5892857142857,76.21661220920221,0.13282943384464063,0.13159291755717592,0.9309053360198466,3.6825620567578974,1.1762497428539582,68.05892949732066,0.2979799264639425,0.07086967583305033,76.21662751781838
811721,일,무직백수 계백순,AKI HAMAZI,#개그 #요즘핫한추천작,280289,총 229화,개그,무직백수 계백순,일,2.6666666666666665,110,0.024242424242424242,최상위 10%,229,46,9.88369565217391,9.719473684210524,1.6615441606325332,12404.478260869566,4173.973684210527,66.3510742134355,735.3260869565217,556.6315789473684,24.301396506788034,0.3524843225300164,0.3466276398518738,1.661544160632524,4.423835243408392,1.4885730379743747,66.3510742134355,0.2622408932052745,0.19851269394451818,24.301396506788038
758037,월,참교육,채용택 / 유현,#액션 #최애캐의SNS #사이다 #학원액션 #자극적인 #사회고발 #참교육 #블루스트링 #학원물 #다크히어로 #먼치킨,958414,총 242화,액션,참교육,월,3.0,121,0.024793388429752067,최상위 10%,242,49,9.848367346938776,9.896222222222223,-0.48591683877756325,39498.30612244898,8248.444444444445,79.11696663934553,4022.3673469387754,425.97777777777776,89.40977436827175,0.10275810224862376,0.10325742117065809,-0.48591683877755715,4.121262780109096,0.860644681250418,79.11696663934555,0.41969477839059094,0.04444662399614544,89.40977436827174
816809,수,별을 품은 소드마스터,양명 / 진범,#판타지 #중세판타지액션 #시리어스 #서양 #소년물 #용사 #액션 #성장물 #소년왕도물 #소설원작,420508,총 117화,판타지,별을 품은 소드마스터,수,3.0,115,0.02608695652173913,최상위 10%,117,24,9.974166666666667,9.977500000000001,-0.03341966747431385,13351.166666666666,8118.3,39.19407792078095,472.75,690.8,-46.12374405076678,0.23667717023146598,0.236755681899076,-0.03317247182448699,3.1681006641013716,1.9263880254184602,39.19422929811234,0.11217894276542943,0.16391964425545646,-46.12336345353055
