title_id,title_name,week,tab,episode_no,episode_title,uploaded_at,uploaded_at_dt,free_release_at,rating,rating_count,episode_like_count,episode_url,collected_at,detail_collected_at,episode_no_text,rating_text,raw_item_text
829495,"아임 파인 땡큐, 앤유?",sun,sun,1,1화 과연 지킬 수 있을까,24.08.24,2024-08-24,2024-08-23 22:00:00,9.67,3767,5715,https://comic.naver.com/webtoon/detail?titleId=829495&no=1&week=sun,2026-06-05 01:56:41.794139,2026-06-05 01:56:45.192356,1화 과연 지킬 수 있을까,9.67,"1화 과연 지킬 수 있을까

별점
9.67
24.08.24"
829495,"아임 파인 땡큐, 앤유?",sun,sun,2,2화 좋다 말았네,24.08.31,2024-08-31 00:00:00,2024-08-30 22:00:00,9.85,2842,4235,https://comic.naver.com/webtoon/detail?titleId=829495&no=2&week=sun,2026-06-05 01:56:41.794139,2026-06-05 01:56:52.766939,2화 좋다 말았네,9.85,"2화 좋다 말았네

별점
9.85
24.08.31"
829495,"아임 파인 땡큐, 앤유?",sun,sun,3,3화 인생은 실전이다,24.09.07,2024-09-07 00:00:00,2024-09-06 22:00:00,9.89,2702,3649,https://comic.naver.com/webtoon/detail?titleId=829495&no=3&week=sun,2026-06-05 01:56:41.794139,2026-06-05 01:56:57.790054,3화 인생은 실전이다,9.89,"3화 인생은 실전이다

별점
9.89
24.09.07"
829495,"아임 파인 땡큐, 앤유?",sun,sun,4,4화 험난하네,24.09.14,2024-09-14 00:00:00,2024-09-13 22:00:00,9.88,2638,3597,https://comic.naver.com/webtoon/detail?titleId=829495&no=4&week=sun,2026-06-05 01:56:41.794139,2026-06-05 01:57:02.690143,4화 험난하네,9.88,"4화 험난하네

별점
9.88
24.09.14"
829495,"아임 파인 땡큐, 앤유?",sun,sun,5,5화 마주치는 눈빛이,24.09.21,2024-09-21 00:00:00,2024-09-20 22:00:00,9.9,2334,3190,https://comic.naver.com/webtoon/detail?titleId=829495&no=5&week=sun,2026-06-05 01:56:41.794139,2026-06-05 01:57:07.655435,5화 마주치는 눈빛이,9.90,"5화 마주치는 눈빛이

별점
9.90
24.09.21"
829495,"아임 파인 땡큐, 앤유?",sun,sun,6,6화 쉬운 건 없다,24.09.28,2024-09-28 00:00:00,2024-09-27 22:00:00,9.91,2637,3169,https://comic.naver.com/webtoon/detail?titleId=829495&no=6&week=sun,2026-06-05 01:56:41.794139,2026-06-05 01:57:11.508957,6화 쉬운 건 없다,9.91,"6화 쉬운 건 없다

별점
9.91
24.09.28"
829495,"아임 파인 땡큐, 앤유?",sun,sun,7,7화 인생은 타이밍,24.10.05,2024-10-05 00:00:00,2024-10-04 22:00:00,9.92,2179,2889,https://comic.naver.com/webtoon/detail?titleId=829495&no=7&week=sun,2026-06-05 01:56:41.027334,2026-06-05 01:57:15.581675,7화 인생은 타이밍,9.92,"7화 인생은 타이밍

별점
9.92
24.10.05"
829495,"아임 파인 땡큐, 앤유?",sun,sun,8,8화 착각은 자유,24.10.12,2024-10-12 00:00:00,2024-10-11 22:00:00,9.94,2030,2701,https://comic.naver.com/webtoon/detail?titleId=829495&no=8&week=sun,2026-06-05 01:56:41.027334,2026-06-05 01:57:20.004411,8화 착각은 자유,9.94,"8화 착각은 자유

별점
9.94
24.10.12"
829495,"아임 파인 땡큐, 앤유?",sun,sun,9,9화 그런 날도 있지,24.10.19,2024-10-19 00:00:00,2024-10-18 22:00:00,9.93,2209,2834,https://comic.naver.com/webtoon/detail?titleId=829495&no=9&week=sun,2026-06-05 01:56:41.027334,2026-06-05 01:57:23.884927,9화 그런 날도 있지,9.93,"9화 그런 날도 있지

별점
9.93
24.10.19"
829495,"아임 파인 땡큐, 앤유?",sun,sun,10,10화 스트레인저,24.10.26,2024-10-26 00:00:00,2024-10-25 22:00:00,9.92,2025,2817,https://comic.naver.com/webtoon/detail?titleId=829495&no=10&week=sun,2026-06-05 01:56:41.027334,2026-06-05 01:57:27.811560,10화 스트레인저,9.92,"10화 스트레인저

별점
9.92
24.10.26"
